epoch,model,param_count,time,layers,optimizer,loss,beta_1,epsilon,beta_2,lr,decay,acc,loss,val_acc,val_loss
0,strd_13,954730,02 Dec 2016 18:38:35,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,2.2932803941345217,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.11740000000238418,2.2932803941345217,0.16020000000000001,2.2790543163299559
1,strd_13,954730,02 Dec 2016 18:39:38,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,2.2099261317443846,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.20402000000953674,2.2099261317443846,0.22450000000000001,2.1631624042510986
2,strd_13,954730,02 Dec 2016 18:40:40,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,2.0916066632843018,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.27101999998092652,2.0916066632843018,0.2792,2.0614965135574339
3,strd_13,954730,02 Dec 2016 18:41:43,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,2.0321905046844484,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.29774000003814699,2.0321905046844484,0.28560000000000002,2.0278155099868775
4,strd_13,954730,02 Dec 2016 18:42:46,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.9938783293151856,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.30887999999046328,1.9938783293151856,0.30780000000000002,1.976929718208313
5,strd_13,954730,02 Dec 2016 18:43:48,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.9593224614334106,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.31876000004768373,1.9593224614334106,0.3296,1.9336057846069337
6,strd_13,954730,02 Dec 2016 18:44:51,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.9256105897140503,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.3277799999809265,1.9256105897140503,0.3306,1.9257480293273925
7,strd_13,954730,02 Dec 2016 18:45:53,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.8996755069732667,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.33551999999999998,1.8996755069732667,0.34079999999999999,1.8905765516281128
8,strd_13,954730,02 Dec 2016 18:46:56,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.8746826020050049,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.3435600000190735,1.8746826020050049,0.34949999999999998,1.8762995166778564
9,strd_13,954730,02 Dec 2016 18:47:58,"[<keras.layers.convolutional.Convolution2D object at 0x7f459303e510>, <keras.layers.core.Activation object at 0x7f459303ed10>, <keras.layers.convolutional.Convolution2D object at 0x7f4592da4f90>, <keras.layers.core.Activation object at 0x7f459054ca90>, <keras.layers.pooling.MaxPooling2D object at 0x7f459054cfd0>, <keras.layers.convolutional.Convolution2D object at 0x7f4592dbae10>, <keras.layers.core.Activation object at 0x7f4592da4890>, <keras.layers.convolutional.Convolution2D object at 0x7f4590560ad0>, <keras.layers.core.Activation object at 0x7f4590514950>, <keras.layers.pooling.MaxPooling2D object at 0x7f4590520e50>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532510>, <keras.layers.convolutional.Convolution2D object at 0x7f4590532e90>, <keras.layers.convolutional.Convolution2D object at 0x7f45904d9ad0>, <keras.layers.pooling.GlobalAveragePooling2D object at 0x7f45905005d0>, <keras.layers.core.Activation object at 0x7f459049d5d0>]",<keras.optimizers.Adam object at 0x7f4590487dd0>,1.8591189025878907,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.34804000002861024,1.8591189025878907,0.34799999999999998,1.8628020885467529
