epoch,model,param_count,time,layers,optimizer,loss,nesterov,lr,momentum,decay,acc,loss,val_acc,val_loss
0,vgg4_1,6216074,25 Nov 2016 21:23:49,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3038430744934084,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.099099999999999994,2.3038430744934084,0.10000000000000001,2.3034396171569824
1,vgg4_1,6216074,25 Nov 2016 21:24:36,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.303803530731201,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.097540000000000002,2.303803530731201,0.10000000000000001,2.3030679088592527
2,vgg4_1,6216074,25 Nov 2016 21:25:24,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3034024128723143,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.098320000000000005,2.3034024128723143,0.10000000000000001,2.303009224319458
3,vgg4_1,6216074,25 Nov 2016 21:26:11,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3032550020599367,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.095939999999999998,2.3032550020599367,0.10000000000000001,2.3029044616699217
4,vgg4_1,6216074,25 Nov 2016 21:26:59,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3031725229644775,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.098239999999999994,2.3031725229644775,0.10000000000000001,2.3028561737060547
5,vgg4_1,6216074,25 Nov 2016 21:27:46,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3031121881866454,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.096640000000000004,2.3031121881866454,0.10000000000000001,2.3027852706909178
6,vgg4_1,6216074,25 Nov 2016 21:28:33,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3030379138946535,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.097199999999999995,2.3030379138946535,0.10000000000000001,2.3027550102233887
7,vgg4_1,6216074,25 Nov 2016 21:29:20,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7f561926a750>, <keras.layers.convolutional.Convolution2D object at 0x7f561926ab90>, <keras.layers.core.Activation object at 0x7f560c27af10>, <keras.layers.pooling.MaxPooling2D object at 0x7f560c27a890>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f560c27aad0>, <keras.layers.convolutional.Convolution2D object at 0x7f560c26bb90>, <keras.layers.core.Activation object at 0x7f56187d6f90>, <keras.layers.pooling.MaxPooling2D object at 0x7f56187d6990>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187d6490>, <keras.layers.convolutional.Convolution2D object at 0x7f56187d6810>, <keras.layers.core.Activation object at 0x7f5618786ad0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7f56187863d0>, <keras.layers.convolutional.Convolution2D object at 0x7f56187e8450>, <keras.layers.core.Activation object at 0x7f5618779ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7f561873c810>, <keras.layers.core.Flatten object at 0x7f561879cad0>, <keras.layers.core.Dense object at 0x7f56187a8f50>, <keras.layers.core.Dropout object at 0x7f561875c710>, <keras.layers.core.Dense object at 0x7f56186aee90>, <keras.layers.core.Dropout object at 0x7f56186d2790>, <keras.layers.core.Dense object at 0x7f5618675490>]",<keras.optimizers.SGD object at 0x7f56186a5d10>,2.3029725460815431,True,0.009999999776482582,0.8999999761581421,0.00019999999494757503,0.098599999999999993,2.3029725460815431,0.10000000000000001,2.3027278717041018
